,drqa_multiattn-EM,drqa_multiattn-F1,testdrqa-EM,testdrqa-F1
0,52.05,63.01,51.96,62.95
1,57.58,67.91,57.99,68.32
2,59.19,69.59,59.13,69.4
3,60.13,70.62,60.83,71.56
4,62.57,72.33,62.67,72.73
5,63.8,73.45,63.97,73.73
6,64.21,73.95,64.51,74.33
7,64.62,74.26,65.34,75.11
8,65.5,74.93,65.87,75.42
9,65.62,75.53,65.84,75.62
10,65.89,75.31,66.42,75.69
11,66.68,76.08,66.98,76.49
12,66.29,75.88,66.76,76.39
13,66.75,76.14,67.44,76.89
14,66.7,76.24,67.3,76.72
15,66.8,76.21,67.0,76.63
16,67.28,76.35,67.41,76.89
17,67.31,76.77,67.7,77.12
18,67.4,76.84,67.84,77.1
19,67.52,76.82,67.84,77.09
20,67.92,77.0,67.58,76.84
21,67.72,77.32,67.69,77.39
22,68.09,77.18,68.32,77.43
23,67.75,77.01,67.59,77.26
24,68.31,77.49,67.98,77.41
25,68.15,77.16,68.15,77.4
26,67.78,76.93,68.25,77.29
27,68.03,77.36,68.09,77.35
28,68.43,77.58,68.04,77.65
29,68.67,77.87,68.67,77.88
30,68.43,77.69,67.84,77.21
31,68.6,77.53,68.48,77.51
32,68.7,77.82,68.46,77.61
33,68.26,77.96,68.39,77.9
34,68.51,77.79,68.51,77.76
35,68.44,77.67,68.11,77.51
36,68.33,77.61,68.47,77.6
37,68.29,77.81,68.13,77.65
38,68.32,77.5,68.12,77.35
39,68.15,77.39,67.72,77.17
